"TicketID","Resolution"
"1197234","instructed user to add Final Report then reprocess the GSR"
"1194727","Data fixed"
"1193301","Rel27.1.0"
"1187998","created the new winAzure machines for fordNet QA environment"
"1185471","reopen the grant as requested"
"1182679","no action needed.  it is resolve after the DW job is completed"
"1173091","no action needed, the document is fine"
"1170135","duplicate with CCL932/mWatch1170128"
"1170128","update the FinProcessDate data in staging database."
"1169772","update data as needed"
"1162668","Rel27.1.0"
"1158468","This issue has been fixed by GBS team."
"1144697","released in REl26.4.3 on March 28th"
"1141434","delete the duplicatd file"
"1134353","by design.  the location does not have GMSCode.  a long term fix to replace the GMSCode with GeoTreeID on the RGA Coversheet and other palces in the system is logged"
"1124540","The issue is closed in GBS control List. As updated by GalaxeDev:    Comments [SS - 3/17/14] - According to AzMan, User is part of the GPU group which includes a Token for editing tax class. - Cannot replicate will inform User to log issue at next occurrence."
"1123987","The requested has been completed by Dev. The resolution comments as follows:    Comments ch 3.14.2014 - all these requests were put on FINAL Agenda 3/5/2014 and were given General Counsel approval on 3/12/2014 6.06 pm...none of the requests are on the TDL...presume all were approved by Darren and workflow is delayed in processing approval.    [Sathish 3/14/2014]: Three grants are approved by President and corresponding grants are approved and uploaded successfully. Remaining five grants list are sent to salim to restart the workflow through admin tool to presidential approval process. This is discussed in the phone call with Kevin and Salim."
"1121725","GSD,        Please close this ticket. The user was conducting testing of a new release and used an incorrect issues log for a defect that was identified.        Thanks,        Cary"
"1120187","The ticket was closed by GalaxeDev and the comments as follows  Comments [KZ03082014]: The VGF in Sharepoint was deleted when user tried to delete report for another report requirement because both report requirement share the same VGF file. CCL875 will investigate this issue. The user will upload the report again."
"1118361","Rel27.1.0"
"1113211","tuned users computer"
"1101978","As per email from cary resolving this ticket"
"1101925","Rel27.1.0"
"1096099","OPS approved the TDL"
"1092760","Resolving ticket as per the mail from Cary."
"1092724","update report file"
"1092712","Update data as requested"
"1084085","annual carryover process"
"1081950","delete corrupted VGF file per request"
"1081836","data fix"
"1081499","remove the duplicated documents for this report entry"
"1081426","the DocGen was not properly installed"
"1081018","Got confirmation mail from Cary that this is a user training ticket. Hence resolving ticket."
"1078738","Got confirmation from Cary that this issue can be resolved. Hence resolving this ticket."
"1078358","Got confirmation from Cary to resolve this ticket."
"1075622","Update data per user request"
"1075563","Wanda attept to edit payments of a grant and she is not the Grant Manager of the grant.  Discussed with Cary and informed Wanda, in this scenario the options would be to make Wanda the grant manager of the grant or have Senior Grant Manager of the Cost Center to edit the payment."
"1075389","Dave rolled back Unit Confirmation of a grant amount"
"1074730","Rel26.4.2"
"1072995","user emailed that the problem is resolved closing the ticket"
"1072775","the grant was reverted to Fund Request on Feb 26th and all status are in proper states"
"1061824","Rel26.4.1"
"1061573","clean up the temporary internet file"
"1059629","Data fix.  Permanent fix logged"
"1059626","data fix; permanent fix was logged"
"1059399","Data fix; permanent fix already logged"
"1059385","Cary has contacted the user and resolved the issue with him. Hence resolving ticket."
"1059149","data fix;  permanent fix logged"
"1058899","user has IE11"
"1058794","clean up the temporary internet files"
"1058149","Update the data per user request."
"1057821","change the grant to a year, then shorten it to 6 month and update the report requirement manually"
"1056647","Rel27.1.0"
"1056539","Cannot replicate the error"
"1056168","update data per user request"
"1056130","update the data as needed.  permanent fix is logged"
"1044919","data fix provided"
"1042881","data fix"
"1040065","got email from cary to close this ticket..  as he has resolved it ."
"1039977","GP was offline for special operation.  All transactions (including payment projections, grant modification, and EPIs) were resent to GP after verifying the transactions are not in GP.  No grant approval occurred during the period"
"1039561","by design"
"1039078","issue resolved.. closing ticket per email from           Herman, Cary"
"1037008","correct the data as needed.  a change control is logged for its long term fix"
"1036928","OPS updated the authority in Azman"
"1036920","User is using IE11"
"1036909","Update the data as needed.  an old decrease occurred in Fy2010 and the status is not proper state in migration"
"1036744","the whole document was protected, unprotected the document"
"1036390","update the data as request."
"1033834","activate the offices, that is parent offices of the cost center"
"1033615","provide the data fix.  a change request is logged for long term fix"
"1033594","add data as needed"
"1033317","user mistakenly locked the whole document"
"1032958","re-start the service.  the service is turn off somehow"
"1032755","update data as requested"
"1025051","remove the extra TDL item.  will log change request if it happens again"
"1024971","the grant (theme) belongs to an expired Program Unit.  update the TDL task owner after OPS realigned the theme to new Program Unit"
"1024940","Restart workflow for the $150k grant amount contribution.  the workflow for the $150k grant amount failed back in Dec 2013 due to the service interruption."
"1024598","remove the document user wants to delete."
"1022055","Assist to remove the VGF file user wants to delete"
"1021976","Got an email from Cary Herman to close this ticket as user training.Hence closing the ticket"
"1021771","Closing the ticket as per email from Cary herman as it was ford gbs training"
"1019578","resolved by restarting the workflow; the workflow failed back in Dec 2013."
"1017405","Update data per user request"
"1017031","User is fine and withdrew this request"
"1016379","Data fix on grant approval.  The grant does not show because the President approved the grant, but the approval process failed."
"1016165","data fix to assign a different PA number for one of these grants.  a change request is log to fix this bug"
"1015438","Resend the Payment Projection to GP.  This is due to the duplicated key error on GP"
"1013920","the whole document was protected.  remove the protection, then it works fine"
"1006419","Ask user to check the junk mail box or having the Grants Manager to reset the password for user.  The system behaved as design and replied email, but user did not receive it somehow"
"1006258","As requested changes for the Contact Details has been implemented by GBS team on Grantee Access page and confirmed the same from Wayne."
"1004173","caused by the organization structure change while the grant is in progress.  fixed by restarting workflow for this grant"
"1004073","OPS gave instruction to user"
"1003626","OPS update the authority"
"1003546","data fix to complete President approval on 4 grants approved by President.  No problem with other 3 requests, they show up on the Presidential TDL without intervention"
"1001419","grant reopened"
"1001179","the document is in Draft mode (not publish and can only be viewed by author)."
"998761","user is using Chrome (not supported)"
"995472","User is fine and withdrew this incident"
"988657","OPS updated  the authorization"
"986566","In GBS the roles of the DVP were retired who were assigned one overseas each."
"986092","OPS uploaded file for the user.  Suspect connection speed issue on user workstation and caused timeout on this large file (15MB)"
"985641","there are 5000 affected VGF documents.  This is because update is needed for all VGFs of the grants, which are updated or any one of their file updated."
"985463","user is fine on second try"
"984773","data fix on document.  the document system tag is deleted"
"983533","OPS updated the authority as requested"
"983501","align the theme and cost center change with user"
"969757","Rel27.1.0"
"969631","correct the document.  system tag in the document was deleted"
"967155","provided user the data (from FY2003 onward) as requested"
"965739","user does not have permission.  OPS gave user the permission"
"965713","duplicated with ticket m961274"
"964459","Rel27.1.0"
"963954","OPS un-finalized the RGA for the user"
"963851","data fix provided to assign different PA number for the grants.  a change request is logged for addressing this issue"
"962364","No an issue.  The grant is not under Teresa&#039;s TDL list because Teresa does not have the delegated permission as she expected on the pool"
"961932","updated the term of the grant maker on database level"
"961530","update SP used for FAP Balance Summary report is updated"
"961469","update the document.  the system tag in the document is deleted"
"961282","Rel26.4.1"
"961274","the grants in the incidents were approved after the reporting cut off time"
"960123","Rel27.1.0"
"958422","fix the broken link"
"958061","OPS approved the TDL task on behalf of user.  A change request is logged for long term fix"
"958059","The TDL task was not approved by the Direct"
"958051","Rel27.1.0"
"952317","Help the Grants Manager to delete extra payment projection after decreasing grant"
"951622","data fix to add the TDL task on the TDL"
"950115","the grant Current PRO expired, OPS move the grant to new Current RPO"
"949963","[SS-1/9/14] - My understanding is that once a Request is GM confirmed which it is in this case, the RPO cannot edit the record unless the status is downgraded to Fund Request.  The grants managers have authority to down grade for the RPO or to edit the record, as that has been delegated to the grants manager along with the owner of the Pool who is the Representative."
"949953","the user profile was not created properly.  His profile originally belong to another user"
"949935","email password resetting instruction to GSD"
"949058","the grantee was using old password.    the login ID contains other last name because the grantee contact profile was an update of an existing profile.  the login ID is fine after user created new profile for the grantee contact"
"948488","update the transaction per user request"
"947508","As per the update from Cary going forward and resolving the ticket"
"945803","Not able to reproduce."
"945751","OPS made authority changes"
"945246","helped user to delete the extra payment projection"
"945194","update data per user request"
"944789","not an issue."
"943064","As per the mail from Cary Herman,resolving this ticket."
"942707","ch 1.6.2014 - workflow shows a workflow task as LOADED  [KZ20140106] resolved by restarting workflow"
"942534","Rel26.4.0"
"942517","Rel27.1.0"
"942402","[KZ20140107] Salim instruct user to correct this on the GBS UI"
"937508","update data per user request"
"936074","Updated the new version of ffdocument generator and it it working fine now. created a new ticket for katherine for the same. Hence resolving this ticket."
"935837","This issue has been resolved by fordGBS team."
"933718","User is able to edit the Schedule and have uploaded the Narrative for FY2013. Hence resolving this ticket."
"920332","update data per user request"
"920056","resolved by having the Infrastructure team to re-established the sync between two Extranet AD Domain controller"
"908565","user cannot verify the problem"
"907603","(KZ20131226) generated and emailed report for the user"
"898501","[KZ20131226] a word97 version document was uploaded as a version of this RGA."
"898323","Cary Herman called and informed that the issue was already taken care. Hence closing the ticket with Cary&#039;s confirmation email."
"898013","As per the update from Kevin Zhao going forward and resolving the ticket"
"894172","(KZ20131222) same issue as CCL694"
"893678","Got confirmation mail from Kevin the Grantee access issue has been resolved."
"891316","(KZ20131226) duplicate with CCL710"
"891228","(KZ20131222) same issue as CCL694"
"891217","Rel27.1.0"
"891206","update the data on the database level.  a change request is logged for long term fix"
"890258","Resolving the ticket as per the mail confirmation from Kevin."
"888407","ch 12.19.2013 - user gets error message file cannot be opened because file format does not match file extension... file extension is .docx… will not open in word 2010 or 2013  (KZ20131223) training issue. the extension of word 97-2003 document was changed to docx and uploaded. User should migrate document use the Save As"
"887850","duplicate with ticket m908565"
"887690","Issue is resolved, hence resolving the ticket"
"887215","As per the update in GBS, resolving the ticket"
"875908","As per the mail confirmation from cary, resolving the ticket."
"867454","&quot;[Sathish Kumar 12/11/2013]: Data fix scripts are provided to Kevin.  Reason: Sufi Salim is restarted the wrong workflow queue Id from Workflow Admin tool on Nov 29 2013 for CCL673.&quot;"
"866732","From Ford net, found that this is implemented in production, hence closing this ticket."
"866244","&quot;ch 12.10.2013 - GM has authorities to pools in AzMan...no indication that workflow has stopped or unloaded for any of the requests."
"865910","[AN 12102013]sidore Tsamblakos update the EPI information for this grantee from 401 (AROMA STUDIOS LIMITED) to 402 (Aroma Studios Limited1) on “2013-12-09 12:11:12.697”.     [kz20131210] Reviewed with Cary, this is data issue and he will inform user &amp; Isidore on this"
"864972","resolved by cleaning disk space on the VGF repository."
"864157","As per the mail from Cary Herman, closing this ticket."
"855126","[KZ20131207] could be due to the VGF issue today.  Emailed user asking her to verify if the problem remains"
"854550","resolved by cleaning up disk space on VGF repository (fordNet)"
"854549","As per the update from Kevin Zhao going forward and resolving the ticket"
"853044","Rel26.2.0"
"853028","[Sathish 12/11/2013]: These Grant Ids are approved by president and grant status is approved, after the restarting the workflow from workflow admin tool. Permanent fix is created for this issue (CCL683), we will monitor this scenario in the future.     Please close this ticket."
"853015","&quot;ch 12.05.2013 - need to reverse 2nd decrease so we do not inadvertantly ask the grantee for a refund   "
"852272","ch 12.5.2013 - no items listed in workflow tool, new amounts added to request are not being displayed for approval [KZ20131205] resolved after restating the permission of workflow related service accounts"
"851804","duplicate with ticket m848740"
"851793","update document type per user request.  fixed all document without document type and a change request is logged for long term fix"
"850809","fixed by Rel26.3.1"
"849304","update report code"
"849125","ch 12.4.2013 - updated record to reflect correct liaison...please investigate and resolve GM ability to update Grant Liasion  [KZ20131207] user does not get the menu option on the screen     [AN 12092013] Grant Manager should have “GRGT-SEL” token for selecting the Grant Liaison.     [KZ20131223] user does not have authority as she believed.  Salim gave user the permission in AzMan"
"848660","[QS 12/03/2013]Error:The current identity(FORDFOUNDATION\GBSIIPROD_DocHandlin) does not have write access to &#039;c:\windows\microsoft.net\framework64\v2.0.50727\Temporary ASP.NET Files&#039;  Solution: add GBSIIPROD_DocHandlin to the local administrators group."
"847514","[KZ20131202] the workflows are reloaded after restarting the workflow service (the service was hanged and team is investigating on the cause).  Team is also checking if more workflow instances remains problem due to the hanging.     [AN 12032013] All the workflows mentioned in this CCL are completed sucessfully, sent Error WF status to Kevin and Qinghua  [KZ20131204] team reviewed all TDLs (not limited to GSRs TDLs) between Nov 27th and Nov 30th to determine 2 workflow instances were affected.  Both 2 workflow instances (req#121367 and req#117564) were restarted and brough to expected state"
"847512","not able to replicate"
"847335","user is  fine when try for second time"
"847178","update data per user requested"
"847069","resolved by restarting workflow.  the issue is caused by workflow service interruption back in Nov 2013"
"838905","update the document. the system tag was deleted in the document"
"838740","data fix.  permanent fix logged"
"837061","fix code for this issue, released in Rel26.3.0"
"836174","update the transaction type per user request"
"835852","User cannot replicate the error."
"835574","update the end date of the grant maker as user required.  The issue is because system checked both original grant maker and current grant maker in grants.  A change request is logged for long term fix"
"830650","No longer needed, because CCU is retired"
"829291","update data per user request so this PRI will be migrated to new way of handling like other active PRI migrated in 2012"
"828405","updated data per user request.  this issue is caused by the workflow interruption in Nov 2013"
"828399","update data per user request, this issue is due to the workflow service interruption back in Nov 2013"
"827242","correct data as needed.  this is due to an Appropriation Decrease transaction error.  Change Request logged for long term solution"
"827234","Rel26.4.0"
"823460","It work when user tried again"
"817562","data fix for now.  change request is logged for long term fix."
"810133","add new document type as required"
"807158","due to system slowness at the time; also EasyUpload timeout duration is increased to be same as the upload on GBS website"
"805632","it works after GIS re-enable the sync between the two extranet AD Controller"
"791573","resolved by correcting the user profile in GBS"
"783970","Rel27.1.0"
"781370","Cannot replicate the error"
"776527","Import grantee tax info from foundation data same way as previous year"
"759108","checked with kevin and came to know that the user is fine now and so closing the ticket as per request ."
"725422","resolve by itself and cannot replicate the error"
"721085","release in Rel26.3.0"
"719940","release in Rel26.2.0"
"689633","Release into Production on Rel26.2.0"
"660062","Released into production on Rel26.2.0"
"628793","Rel27.1.0"
"1505495","Updated to Oliver that the virus alert was false alert and that has been confirmed with Symantec. Hence resolving this ticket with user confirmation."
"1503630","Reached Bet &amp; she confirmed that the printer issue resolved, With the permission of the user resolving the ticket"
